Location;FPC;Forecasted Date;Weeks;Final Fcst Qty
2621;83732410;2018-04-09;2018-06-10;1054,770311
2621;83732410;2018-04-09;2018-06-17;2077,563331
2621;83732410;2018-04-09;2018-06-24;1452,65303
2621;83732410;2018-04-09;2018-07-01;1185,091071
2621;83732410;2018-04-16;2018-04-22;2089,300784
2621;83732410;2018-04-16;2018-04-29;2109,678587
2621;83732410;2018-04-16;2018-05-06;1392,120658
2621;83732410;2018-04-16;2018-05-13;1718,867404
2621;83732410;2018-04-16;2018-05-20;2172,943884
2621;83732410;2018-04-16;2018-05-27;1255,495771
2621;83732410;2018-04-16;2018-06-03;1710,467208
2621;83732410;2018-04-16;2018-06-10;2198,076316
2621;83732410;2018-04-16;2018-06-17;1711,374615
2621;83732410;2018-04-16;2018-06-24;1068,560438
2621;83732410;2018-04-16;2018-07-01;1594,976101
