Location;Product;Date;Customer;Quantity
2621;83723121;20170101;SUMER LOJISTIK SAN.TC.AS-MARDI;226,3336066
2621;83723121;20170101;YONTEM - ECOMMERCE;33,6
2621;83723121;20170101;YONTEM KOZMETIK ANONIM SIRKETI;100,8
2621;83727882;20170101;ADNAN TIC.PAZ. AS-MALATYA;52,5
2621;83727882;20170101;ADNAN TIC.PAZ. AS-MERSIN;25,2
2621;83727882;20170101;AYKANLAR GD SN TIC.AS-KONYA;7,7
2621;83727882;20170101;AYKANLAR IZMIR YENI;23,1
2621;83727882;20170101;AYKANLAR KOZMETIK TICARET VE P;15,4
2621;83727882;20170101;AYKANLAR-ADESE ANKARA;7
2621;83727882;20170101;AYKANLAR-HPK;14
2621;83727882;20170101;BEGENDIK ANKARA;3,5
2621;83727882;20170101;CARREFOUR A.S.(ANTALYA).DEPO-1;2,1
2621;83727882;20170101;CARREFOUR A.S.(TORBALI).DEPO-1;4,2
2621;83727882;20170101;ECZACIBASI-HAKAN LOJISTIK;72,1
2621;83727882;20170101;HEDEF GIDA PZ. DAG SAN VE TIC;259,7
2621;83727882;20170101;HEDEF GIDA PZ. DAG SAN VE TIC;21
2621;83727882;20170101;HEDEF HADIMKOY;182,7
2621;83727882;20170101;HEDEF- OZEN BURSA;35
2621;83727882;20170101;HEDEF-CAGRI SANCAKTEPE;0,7
2621;83727882;20170101;MAKRO MARKET A.S. # UYUM (ISTA;24,5
2621;83727882;20170101;MAKRO MARKET A.S. (ANKARA);35
2621;83727882;20170101;MAKRO MARKET A.S.(KAYSERI);3,5
2621;83727882;20170101;MAKRO MARKET A.S.(SAMSUN);14
2621;83727882;20170101;METRO GROS. B.KOY.ALIS.HIZ.TIC;156,1
2621;83727882;20170101;MIGROS A.S.-(GEBZE MERKEZ XDOC;116,9
2621;83727882;20170101;MIGROS A.S.-(SARAY ANKARA);58,8
2621;83727882;20170101;MIGROS ANTALYA SERIK DEPO;38,5
2621;83727882;20170101;MIGROS AS-(PINARBASI) (TANSAS);70
2621;83727882;20170101;MIGROS ERZURUM DEPO;35
2621;83727882;20170101;MIGROS ESENYURT DAG.MERK.;32,2
2621;83727882;20170101;MIGROS MUGLA MERKEZ DEPO;52,5
2621;83727882;20170101;MIGROS T.A.S.-ADANA;73,5
2621;83727882;20170101;OZGUN GIDA KOZMETIK VE DAG. AS;107,8
2621;83727882;20170101;OZGUN GIDA SN. AS.-2-KAYSERI;15,4
2621;83727882;20170101;OZGUN GIDA SN. AS.-ZONGULDAK;38,5
2621;83727882;20170101;SECKIN ONUR PAZ.SN.TIC.AS-ESKI;53,9
2621;83727882;20170101;SECKIN ONUR PAZ.SN.TIC.AS-IZMI;0,7
2621;83727882;20170101;SUMER LOGISTIK SAN TIC. AS-ERZ;19,6
2621;83727882;20170101;SUMER LOGISTIK SAN TIC. AS-VAN;5,6
2621;83727882;20170101;SUMER LOJISTIK SAN.TC.AS-MARDI;16,8
2621;83727882;20170101;TESCO KIPA KITLE PAZARLAMA TIC;30,8
2621;83727882;20170101;YONTEM KOZMETIK ANONIM SIRKETI;700,7
2621;83727883;20170101;ADNAN ANTEP;27
2621;83727883;20170101;AYKANLAR GD SN TIC.AS-KONYA;2,25
2621;83727883;20170101;AYKANLAR IZMIR YENI;54
2621;83727883;20170101;AYKANLAR KOZMETIK TICARET VE P;11,25
2621;83727883;20170101;CARREFOUR A.S.(ADANA).DEPO-1;3
2621;83727883;20170101;CARREFOUR A.S.(GEBZE).DEPO-1;27
2621;83727883;20170101;HEDEF GIDA PZ. DAG SAN VE TIC;3,75
2621;83727883;20170101;METRO GROS. B.KOY.ALIS.HIZ.TIC;34,5
2621;83727883;20170101;OZGUN GIDA KOZMETIK VE DAG. AS;45
2621;83727883;20170101;OZGUN GIDA SN. AS.-2-KAYSERI;36
2621;83727883;20170101;OZGUN GIDA SN. AS.-ZONGULDAK;63
2621;83727883;20170101;OZGUN KOZM. GIDA SAN AS.-ANKAR;45
2621;83727883;20170101;SUMER LOGISTIK SAN TIC. AS-ERZ;31,5
2621;83727883;20170101;SUMER LOGISTIK SAN TIC. AS-VAN;4,5
2621;83727883;20170101;SUMER LOJISTIK SAN.TC.AS-MARDI;9,75
2621;83727883;20170101;TESCO KIPA KITLE PAZARLAMA TIC;18
2621;83727883;20170101;YONTEM - ECOMMERCE;54
2621;83727883;20170101;YONTEM KOZMETIK ANONIM SIRKETI;324
2621;83727885;20170101;ADNAN ANTEP;90,2
2621;83727885;20170101;ADNAN TIC.PAZ. AS-MALATYA;118,8
2621;83727885;20170101;ADNAN TIC.PAZ. AS-MERSIN;178,2
2621;83727885;20170101;AYKANLAR GD SN TIC.AS-KONYA;19,8
2621;83727885;20170101;AYKANLAR IZMIR YENI;437,8
2621;83727885;20170101;AYKANLAR KOZMETIK TICARET VE P;59,4
2621;83727885;20170101;AYKANLAR-HPK;44
2621;83727885;20170101;CARREFOUR A.S.(ADANA).DEPO-1;118,8
2621;83727885;20170101;CARREFOUR A.S.(ANKARA).DEPO-1;72,6
2621;83727885;20170101;CARREFOUR A.S.(ANTALYA).DEPO-1;83,6
2621;83727885;20170101;CARREFOUR A.S.(GEBZE).DEPO-1;594
2621;83727885;20170101;CARREFOUR A.S.(SAMSUN).DEPO-1;80,3
2621;83727885;20170101;CARREFOUR A.S.(TORBALI).DEPO-1;125,4
2621;83727885;20170101;HEDEF GIDA PZ. DAG SAN VE TIC;896,5
2621;83727885;20170101;HEDEF GIDA PZ. DAG SAN VE TIC;181,5
